"order_id,customer_id,order_date,total_amount,product_category"
"101,1,2024-01-01,500,Electronics"
"102,1,2024-01-03,300,Furniture"
"103,2,2024-01-02,700,Finance Services"
"104,3,2024-01-04,200,Software"
"105,4,2024-01-05,900,Medical Supplies"
"106,5,2024-01-06,400,Food"
"107,6,2024-01-07,1000,Defense Equipment"
"108,7,2024-01-08,650,Construction Materials"
"109,8,2024-01-09,350,Cloud Services"
"110,9,2024-01-10,800,Investment"
"111,10,2024-01-11,750,Research Tools"
"112,2,2024-01-12,600,Finance Services"
"113,3,2024-01-13,450,Software"
"114,4,2024-01-14,300,Medical Supplies"
"115,5,2024-01-15,200,Food"
"116,6,2024-01-16,900,Defense Equipment"
"117,7,2024-01-17,700,Construction Materials"
"118,8,2024-01-18,500,Cloud Services"
"119,9,2024-01-19,650,Investment"
"120,10,2024-01-20,400,Research Tools"
